name,latitude,longitude,coordinates,lunch,coffee,pastries,drinks
Rosslyn London Wall,51.517720000000004,-0.08892,"(51.517720,-0.088920)",0,1,0,1
Forbes and Hamilton,51.51708,-0.08800000000000001,"(51.517080,-0.088000)",0,1,1,0
T4 Bubble Tea,51.51895,-0.07721,"(51.518950,-0.077210)",0,0,0,1
Banh Mi Keu Deli,51.51733,-0.08817,"(51.51733, -0.08817)",1,0,0,0
Party at Moorgate,51.51716,-0.08885,"(51.51716, -0.08885)",0,1,1,1
Lazy Coffee,51.511724900000004,-0.08848860000000001,"(51.5117249, -0.0884886)",0,1,1,0
Blues Kitchen,51.525639,-0.08031,"(51.525639, -0.08031)",0,0,0,1
Three Uncles,51.516909999999996,-0.08012000000000001,"(51.51691, -0.08012)",1,0,0,0
The Japanese Canteen,51.517520000000005,-0.07737999999999999,"(51.51752, -0.07738)",1,0,0,0
Drapers Cafe,51.51579,-0.08655,"(51.51579, -0.08655)",1,0,1,0
Ravello Coffee,51.515714,-0.088622,"(51.515714, -0.088622)",1,1,1,1
Grind,51.513682,-0.08778,"(51.513682, -0.08778)",0,1,0,0
The Cosy Coffee Corner,51.511854,-0.085994,"(51.511854, -0.085994)",0,1,1,1
Notes Coffee,51.515513,-0.087247,"(51.515513, -0.087247)",0,1,1,0
Buns From Home,51.51374,-0.08757,"(51.51374, -0.08757)",0,0,1,0
